package,ecosystem,installed_version,cve_id,osv_id,summary,severity,cvss_vector,published,modified,aliases,reference_url
django,PyPI,2.2.0,CVE-2020-7471,PYSEC-2020-35,,,,2020-02-03T12:15:00Z,2023-12-06T01:00:38.606116Z,BIT-django-2020-7471; CVE-2020-7471; GHSA-hmr4-m2h5-33qx,https://www.openwall.com/lists/oss-security/2020/02/03/1
django,PyPI,2.2.0,CVE-2020-9402,PYSEC-2020-36,,,,2020-03-05T15:15:00Z,2026-05-19T05:26:07.462292591Z,BIT-django-2020-9402; CVE-2020-9402; GHSA-3gh2-xw74-jmcw; PYSEC-2020-345,https://groups.google.com/forum/#!topic/django-announce/fLUh_pOaKrY
django,PyPI,2.2.0,CVE-2021-44420,PYSEC-2021-439,,,,2021-12-08T00:15:00Z,2023-12-06T01:01:41.266810Z,BIT-django-2021-44420; CVE-2021-44420; GHSA-v6rh-hp5x-86rv,https://docs.djangoproject.com/en/3.2/releases/security/
django,PyPI,2.2.0,CVE-2021-28658,PYSEC-2021-6,,,,2021-04-06T15:15:00Z,2023-12-06T01:01:01.677077Z,BIT-django-2021-28658; CVE-2021-28658; GHSA-xgxc-v2qg-chmh,https://groups.google.com/g/django-announce/c/ePr5j-ngdPU
django,PyPI,2.2.0,CVE-2021-31542,PYSEC-2021-7,,,,2021-05-05T15:15:00Z,2023-12-06T01:01:11.745914Z,BIT-django-2021-31542; CVE-2021-31542; GHSA-rxjp-mfm9-w4wr,https://www.djangoproject.com/weblog/2021/may/04/security-releases/
django,PyPI,2.2.0,CVE-2021-32052,PYSEC-2021-8,,,,2021-05-06T16:15:00Z,2023-12-06T01:01:13.553156Z,BIT-django-2021-32052; CVE-2021-32052; GHSA-qm57-vhq3-3fwf,https://docs.djangoproject.com/en/3.2/releases/security/
django,PyPI,2.2.0,CVE-2021-3281,PYSEC-2021-9,,,,2021-02-02T07:15:00Z,2023-12-06T01:01:15.916389Z,BIT-django-2021-3281; CVE-2021-3281; GHSA-fvgf-6h6h-3322,https://docs.djangoproject.com/en/3.1/releases/security/
django,PyPI,2.2.0,CVE-2021-33203,PYSEC-2021-98,,,,2021-06-08T18:15:00Z,2023-12-06T01:01:16.755410Z,BIT-django-2021-33203; CVE-2021-33203; GHSA-68w8-qjq3-2gfm,https://docs.djangoproject.com/en/3.2/releases/security/
django,PyPI,2.2.0,CVE-2021-33571,PYSEC-2021-99,,,,2021-06-08T18:15:00Z,2023-12-06T01:01:16.815257Z,BIT-django-2021-33571; CVE-2021-33571; GHSA-p99v-5w3c-jqq9,https://groups.google.com/g/django-announce/c/sPyjSKMi8Eo
django,PyPI,2.2.0,CVE-2021-45115,PYSEC-2022-1,,,,2022-01-05T00:15:00Z,2023-12-06T01:01:43.028018Z,BIT-django-2021-45115; CVE-2021-45115; GHSA-53qw-q765-4fww,https://docs.djangoproject.com/en/4.0/releases/security/
django,PyPI,2.2.0,CVE-2022-22818,PYSEC-2022-19,,,,2022-02-03T02:15:00Z,2023-12-06T01:01:58.226668Z,BIT-django-2022-22818; CVE-2022-22818; GHSA-95rw-fx8r-36v6,https://docs.djangoproject.com/en/4.0/releases/security/
django,PyPI,2.2.0,CVE-2022-28346,PYSEC-2022-190,,,,2022-04-12T05:15:00Z,2023-12-06T01:02:11.594317Z,BIT-django-2022-28346; CVE-2022-28346; GHSA-2gwj-7jmv-h26r,http://www.openwall.com/lists/oss-security/2022/04/11/1
